J.D.-2400000	FILTER	Relative Flux	Relative Flux Error
57985.37258	B	0.676363	0.002971
57985.3734	B	0.685905	0.003
57985.37421	B	0.681477	0.002991
57985.37583	B	0.695223	0.003017
57985.37667	B	0.69789	0.003033
57985.3775	B	0.692349	0.003006
57985.37831	B	0.700168	0.003037
57985.37913	B	0.693891	0.002996
57985.37994	B	0.709668	0.003057
57985.38075	B	0.702627	0.003026
57985.38156	B	0.709435	0.003056
57985.38237	B	0.712807	0.003053
57985.38319	B	0.715385	0.003062
57985.384	B	0.719213	0.003146
57985.38481	B	0.725634	0.003272
57985.38562	B	0.72387	0.003132
57985.38644	B	0.714539	0.003081
57985.38725	B	0.720987	0.003075
57985.38807	B	0.731791	0.003132
57985.38888	B	0.731465	0.003112
57985.38969	B	0.735187	0.003131
57985.3905	B	0.72634	0.003101
57985.39132	B	0.734263	0.003121
57985.39213	B	0.738221	0.003132
57985.39294	B	0.736417	0.003121
57985.39376	B	0.74368	0.003152
57985.39457	B	0.741383	0.00314
57985.39538	B	0.743084	0.003155
57985.39619	B	0.741152	0.003152
57985.39701	B	0.745818	0.003176
57985.39782	B	0.742818	0.003151
57985.39863	B	0.750989	0.003173
57985.39944	B	0.760001	0.003193
57985.40026	B	0.754489	0.003184
57985.40107	B	0.753832	0.003162
57985.40188	B	0.762058	0.0032
57985.4027	B	0.77014	0.003256
57985.40351	B	0.769151	0.003236
57985.40432	B	0.772166	0.00323
57985.40514	B	0.761949	0.003186
57985.40595	B	0.771072	0.003225
57985.40676	B	0.767716	0.003203
57985.40757	B	0.772291	0.003224
57985.40839	B	0.767115	0.003208
57985.4092	B	0.772093	0.003219
57985.41001	B	0.777616	0.003243
57985.41082	B	0.777138	0.003244
57985.41164	B	0.776563	0.003238
57985.41245	B	0.780026	0.003254
57985.41326	B	0.780611	0.003255
57985.41408	B	0.781111	0.003252
57985.41489	B	0.782365	0.003252
57985.4157	B	0.790348	0.003292
57985.41652	B	0.791947	0.003286
57985.41733	B	0.786061	0.003282
57985.41814	B	0.786419	0.003252
57985.41896	B	0.791656	0.003278
57985.41977	B	0.79512	0.003297
57985.42058	B	0.793974	0.003297
57985.42139	B	0.794596	0.003292
57985.42221	B	0.801798	0.003317
57985.42302	B	0.795627	0.003293
57985.42383	B	0.796583	0.003291
57985.42464	B	0.801102	0.003315
57985.42546	B	0.797135	0.003294
57985.42627	B	0.799033	0.003301
57985.42708	B	0.801774	0.003308
57985.42789	B	0.794751	0.003294
57985.42871	B	0.788786	0.003262
57985.42952	B	0.80135	0.003312
57985.43033	B	0.802988	0.003322
57985.43115	B	0.806027	0.00333
57985.43196	B	0.796906	0.003297
57985.43277	B	0.807217	0.003336
57985.43359	B	0.805199	0.003323
57985.4344	B	0.802455	0.003316
57985.43521	B	0.80034	0.003309
57985.43603	B	0.802097	0.003307
57985.43684	B	0.807164	0.00333
57985.43765	B	0.8004	0.003321
57985.43847	B	0.804018	0.003332
57985.43928	B	0.802738	0.003309
57985.4401	B	0.803514	0.003332
57985.44091	B	0.79047	0.003298
57985.44172	B	0.799868	0.003321
57985.44254	B	0.805051	0.003343
57985.44335	B	0.799511	0.003321
57985.44416	B	0.795483	0.0033
57985.44498	B	0.801	0.003322
57985.44579	B	0.797313	0.003314
57985.4466	B	0.797391	0.00332
57985.44741	B	0.804877	0.003351
57985.44823	B	0.802711	0.003337
57985.44904	B	0.799687	0.003322
57985.44985	B	0.7991	0.00333
57985.45067	B	0.799604	0.003324
57985.45148	B	0.801089	0.003328
57985.4523	B	0.802281	0.003333
57985.45311	B	0.800708	0.003333
57985.45392	B	0.798022	0.003321
57985.45473	B	0.788266	0.003292
57985.45554	B	0.793136	0.003311
57985.45636	B	0.801934	0.003345
