B		R		V	
Time	Observed	Time	Observed	Time	Observed
58880.70373	7.2847	58880.70459	5.445269	58880.70419	8.442193
58880.70508	7.271745	58880.70593	5.33633	58880.70554	8.443802
58880.70642	7.19124	58880.70726	5.382892	58880.70688	8.317602
58880.70775	7.532857	58880.70861	5.390618	58880.70821	8.127482
58880.70909	7.315636	58880.70994	5.382313	58880.70955	8.184334
58880.71042	7.182782	58880.7113	5.42654	58880.7109	8.31273
58880.71179	7.174872	58880.71266	5.536195	58880.71226	8.192066
58880.71314	7.282566	58880.71399	5.385098	58880.7136	8.226836
58880.71447	7.985057	58880.71532	5.385098	58880.71493	8.247993
58880.7158	7.315301	58880.71665	5.315065	58880.71626	8.188532
58880.71714	7.285783	58880.71798	5.324616	58880.71759	8.261869
58880.71847	7.147574	58880.71931	5.378819	58880.71892	8.315669
58880.7198	7.959861	58880.72064	5.491451	58880.72025	9.445156
58880.72113	7.955612	58880.72197	5.3939	58880.72159	8.914366
58880.72246	7.335867	58880.7233	5.407736	58880.72292	8.115754
58880.72379	7.138522	58880.72464	5.549839	58880.72425	8.240704
58880.72511	7.680525	58880.72597	5.474513	58880.72557	8.368003
58880.72645	7.256904	58880.7273	5.925513	58880.72691	8.542847
58880.72777	7.362784	58880.72862	5.416496	58880.72823	8.421626
58880.72909	7.176717	58880.72994	5.475395	58880.72955	8.29717
58880.73041	7.583567	58880.73127	5.738127	58880.73088	8.284884
58880.73175	7.707804	58880.7326	5.385929	58880.73221	8.281961
58880.73308	7.695878	58880.73394	5.453857	58880.73354	8.988553
58880.73444	7.598219	58880.73531	5.402418	58880.73491	8.398373
58880.73579	7.580309	58880.73666	5.291142	58880.73626	9.403958
58880.73715	8.273214	58880.73802	6.235623	58880.73762	8.647209
58880.73986	7.381496	58880.73937	5.480594	58880.73897	9.788793
58880.74122	7.997382	58880.74073	5.507198	58880.74034	9.194354
58880.74258	7.846808	58880.74209	5.427252	58880.74169	8.965189
58880.74394	7.436279	58880.74344	5.84448	58880.74304	8.736928
58880.74531	7.389427	58880.74481	5.423789	58880.74441	8.139589
58880.74666	7.788984	58880.74618	5.592463	58880.74578	8.332199
58880.74802	7.718937	58880.74753	5.528905	58880.74713	8.436268
58880.74937	7.921949	58880.74888	5.440386	58880.74848	8.293727
58880.75072	7.383103	58880.75024	5.852163	58880.74984	8.488627
58880.75209	7.728332	58880.7516	5.375199	58880.7512	8.737434
58880.75344	7.302811	58880.75296	5.379654	58880.75256	8.399643
58880.75481	7.874861	58880.75431	5.772997	58880.75391	8.693932
58880.75618	7.816751	58880.75568	5.337899	58880.75528	8.225311
58880.75753	6.984903	58880.75704	5.348177	58880.75664	8.801117
58880.75888	7.413164	58880.7584	5.645992	58880.758	8.205108
58880.76024	8.170314	58880.75975	5.563397	58880.75935	8.298759
58880.76158	7.14578	58880.76109	5.402284	58880.76071	8.41937
58880.76293	7.150102	58880.76245	5.378215	58880.76205	8.217205
58880.7643	7.050589	58880.7638	5.370699	58880.7634	8.501466
58880.76565	7.074654	58880.76517	5.331944	58880.76477	8.208022
58880.76701	7.066964	58880.76652	5.582449	58880.76612	8.236227
58880.76835	7.303003	58880.76786	5.340575	58880.76748	8.372663
58880.76968	7.23398	58880.7692	5.604887	58880.76881	8.711816
58880.7719	7.472031	58880.77055	5.441262	58880.77014	8.673083
58880.77326	7.222322	58880.77277	5.357694	58880.77237	8.370891
58880.7746	7.901797	58880.77411	5.575697	58880.77373	8.306934
58880.77593	8.614034	58880.77545	5.585602	58880.77506	9.5898
58880.77727	8.212681	58880.77678	5.717339	58880.77639	9.248649
58880.77862	8.079156	58880.77813	5.549769	58880.77773	8.814943
58880.77995	7.804705	58880.77946	5.554755	58880.77907	8.656695
58880.78128	7.95355	58880.7808	5.691733	58880.78042	8.635164
58880.78261	7.800554	58880.78214	5.429853	58880.78175	8.783328
58880.78394	7.676854	58880.78346	5.676052	58880.78307	9.12444
58880.78527	7.502436	58880.78479	5.373733	58880.7844	8.566876
58880.7866	7.398691	58880.78613	5.41704	58880.78574	8.353149
58880.78792	7.872409	58880.78745	5.379032	58880.78706	8.296026
58880.78924	7.065744	58880.78877	5.311393	58880.78838	8.562406
58880.79057	8.407583	58880.79009	5.632763	58880.7897	8.314835
58880.79189	7.777638	58880.79142	5.305239	58880.79103	8.426835
58880.79321	7.049959	58880.79274	5.39987	58880.79235	8.505699
58880.79457	7.38194	58880.79408	5.463263	58880.79369	8.374858
58880.79592	7.633741	58880.79543	5.529139	58880.79502	8.408217
58880.79729	7.435532	58880.79679	5.403157	58880.79639	8.200345
58880.79865	7.185774	58880.79815	5.354638	58880.79775	8.241467
58880.80001	7.739855	58880.79952	5.482244	58880.79912	8.168463
58880.80136	7.392036	58880.80087	5.345027	58880.80047	8.636558
58880.8027	7.726543	58880.80223	5.602938	58880.80183	8.343396
58880.80405	7.256441	58880.80356	5.453872	58880.80317	9.157614
58880.80539	7.196718	58880.80491	5.402645	58880.8045	8.195699
58880.80672	7.82999	58880.80623	5.826792	58880.80585	8.48573
58880.80805	7.240917	58880.80756	5.595142	58880.80718	8.067234
58880.80938	7.473668	58880.80889	5.312209	58880.80851	8.324499
58880.81072	7.193136	58880.81024	5.379436	58880.80985	8.428049
58880.81208	7.449016	58880.81158	5.674269	58880.81118	8.344815
58880.81342	7.336911	58880.81293	5.452234	58880.81255	8.57006
58880.81476	7.667904	58880.81428	5.322035	58880.81388	8.506558
58880.81611	7.096854	58880.81562	5.274177	58880.81523	8.048326
58880.81744	7.153033	58880.81695	5.362119	58880.81656	8.623478
58880.81879	7.376296	58880.8183	5.613394	58880.81791	8.352856
58880.82014	7.486572	58880.81966	5.58144	58880.81926	8.166146
58880.82151	7.538853	58880.82101	5.34027	58880.82061	8.294978
58880.82288	7.228558	58880.82238	5.667724	58880.82198	8.537585
58880.82423	7.719977	58880.82374	5.590412	58880.82335	9.173214
58880.82558	7.175206	58880.8251	5.370943	58880.8247	8.72784
58880.82694	7.816135	58880.82645	5.423072	58880.82605	9.01415
