B		R		V	
Time	Observed	Time	Observed	Time	Observed
58204.68883	393.097271	58204.68883	395.904696	58204.68883	397.277222
58204.68899	117.002286	58204.68899	117.836006	58204.68899	118.281687
58204.68917	52.236795	58204.68917	52.733531	58204.68917	52.842749
58204.68934	31.361978	58204.68934	31.602596	58204.68934	31.709164
58204.68955	358.515274	58204.68955	356.899242	58204.68955	362.718856
58204.68972	115.325482	58204.68972	116.496042	58204.68972	116.809623
58204.6899	50.295803	58204.6899	50.731282	58204.6899	50.849156
58204.69007	32.28969	58204.69007	32.613782	58204.69007	32.760334
58204.69028	376.330175	58204.69028	379.085817	58204.69028	380.391141
58204.69045	114.27314	58204.69045	115.184345	58204.69045	115.54233
58204.69063	53.55126	58204.69063	53.98983	58204.69063	54.156793
58204.69079	33.57684	58204.69079	33.84522	58204.69079	33.925099
58204.691	396.717675	58204.691	400.010542	58204.691	400.962429
58204.69117	104.978185	58204.69117	105.91242	58204.69117	106.189397
58204.69134	50.531628	58204.69134	50.989332	58204.69134	51.180481
58204.69152	29.73401	58204.69152	29.932174	58204.69152	30.032988
58204.69173	383.138296	58204.69173	388.018906	58204.69173	387.445177
58204.6919	104.415643	58204.6919	105.367235	58204.6919	105.643615
58204.69208	48.711606	58204.69208	49.109326	58204.69208	49.378936
58204.69225	31.582825	58204.69225	31.887548	58204.69225	32.000737
58204.69245	372.402115	58204.69245	377.639377	58204.69245	376.689328
58204.69262	103.160347	58204.69262	104.086019	58204.69262	104.360467
58204.69279	46.570795	58204.69279	46.995422	58204.69279	47.170724
58204.69296	30.373423	58204.69296	30.663201	58204.69296	30.725232
58204.69318	350.522752	58204.69318	354.336969	58204.69318	354.827171
58204.69335	102.542914	58204.69335	104.096228	58204.69335	103.732906
58204.69352	48.30193	58204.69352	48.748001	58204.69352	48.841953
58204.6937	31.396241	58204.6937	31.722472	58204.6937	31.789117
58204.6939	350.45278	58204.6939	352.718896	58204.6939	353.060938
58204.69407	102.38023	58204.69407	103.725955	58204.69407	103.525293
58204.69424	46.883535	58204.69424	47.469112	58204.69424	47.423013
