 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5
1,HD106306_Bessell B_0043_out.fits,1,0,58589.48955,2458589.49,2458589.489,2458589.484,2458589.485,-1,-70.160158,NaN,10,0,0,4.624141,5,11,17,20.461301,0.361929,0.537459,0.301362,0.18078,0.124049,0.00485,0.006672,0.004229,0.002973,164.944909,74.620054,80.554369,71.256318,60.81025,28565.42908,169.102881,449.442462,406.167136,449.942462,618.332864,584485.8535,78.539816,764.523195,764.510295,22710,7441.90502,0,507,4.924672,5.421526,5.27994,5.563113,58.301684,0.986414,799.435347,380.07129,799.935347,644.42871,7591.191397,87.17105,87.083859,362,96.654051,0,4.34903,4.989086,4.823179,5.154993,59.538062,0.981312,761.639162,668.592232,762.139162,355.907768,9985.796341,99.967011,99.890917,455,127.143108,0,4.764552,5.054331,4.94935,5.159311,56.115659,0.987955,167.282156,640.358304,167.782156,384.141696,6615.016587,81.379288,81.286243,314,84.225007,0,4.571419,4.853552,4.748924,4.958179,52.861997,0.974714,321.37657,314.009898,321.87657,710.490102,4373.424751,66.189128,66.07467,209,55.684173,0,4.511031,4.770117,4.402894,5.13734,69.69941,0.95936
2,HD106306_Bessell B_0046_out.fits,2,0,58589.49003,2458589.49,2458589.49,2458589.485,2458589.486,-1,-69.989264,NaN,10,0,0,5.325571,5,11,17,20.396233,0.364079,0.55082,0.307972,0.166123,0.122354,0.004821,0.006741,0.004252,0.002785,166.698463,75.523497,81.712456,72.437335,59.654704,29179.72822,170.909558,450.388467,405.797282,450.888467,618.702718,595156.5221,78.539816,771.470122,771.457644,24844,7577.768192,0,512,4.654812,5.281286,5.326863,5.235708,34.823455,0.997538,800.411935,379.87555,800.911935,644.62445,7788.197211,88.293756,88.207791,397,99.162407,0,4.412937,4.750802,4.726261,4.775342,48.765431,0.993787,762.487791,668.288961,762.987791,356.211039,10364.05654,101.841343,101.766691,491,131.959266,0,4.581552,4.884062,4.960166,4.807959,34.891772,0.991871,168.252943,639.971365,168.752943,384.528635,6870.594862,82.934824,82.843305,364,87.479131,0,4.378494,4.738247,4.766847,4.709647,40.897374,0.992846,322.43692,313.721962,322.93692,710.778038,4156.879599,64.532516,64.415273,285,52.927035,0,3.975919,4.318252,4.16757,4.468934,62.257914,0.984868
3,HD106306_Bessell B_0049_out.fits,3,0,58589.4905,2458589.491,2458589.49,2458589.485,2458589.486,-1,-69.817402,NaN,10,0,0,5.830162,5,11,17,20.599243,0.364466,0.543226,0.30855,0.169707,0.1243,0.004854,0.006702,0.004283,0.002841,165.722598,75.082713,81.05056,72.032429,59.744855,28826.15079,169.871961,450.340091,405.845972,450.840091,618.654028,593796.8726,78.539816,770.58806,770.57627,21870,7560.456598,0,498,5.097932,5.466487,5.110944,5.822029,89.839165,0.983221,800.219585,379.736175,800.719585,644.763825,7699.831167,87.791932,87.705453,341,98.037295,0,4.715579,5.050876,4.567882,5.53387,270.646251,0.964064,762.277714,668.309377,762.777714,356.190623,10147.00599,100.769955,100.694755,422,129.195693,0,4.883981,5.085312,4.649245,5.521379,86.933764,0.970681,168.159688,640.06981,168.659688,384.43019,6797.064264,82.490195,82.398451,307,86.54291,0,4.750244,4.935519,4.576976,5.294063,88.488914,0.979053,322.367507,313.737905,322.867507,710.762095,4182.249369,64.729001,64.611678,225,53.250053,0,4.377502,4.631462,4.00733,5.255594,88.616834,0.929764
4,HD106306_Bessell B_0052_out.fits,4,0,58589.49098,2458589.491,2458589.491,2458589.486,2458589.487,-1,-69.645735,NaN,10,0,0,5.968553,5,11,17,20.41315,0.369775,0.54585,0.293258,0.176721,0.123982,0.004939,0.006772,0.004153,0.002934,164.646045,74.861068,80.598304,70.607145,60.224266,28465.19757,168.806144,449.317205,405.103761,449.817205,619.396239,581064.3398,78.539816,762.28229,762.269238,20691,7398.340955,0,518,5.179673,5.546869,5.285013,5.808725,71.01019,0.985716,799.128488,379.174269,799.628488,645.325731,7684.268175,87.703252,87.616685,336,97.839141,0,4.650841,5.082001,4.697749,5.466254,75.631718,0.970594,761.293588,667.521397,761.793588,356.978603,10051.24954,100.293696,100.218159,415,127.976484,0,4.776705,5.010265,4.828518,5.192012,62.309049,0.983734,167.0219,639.292892,167.5219,385.207108,6454.743466,80.388667,80.294197,293,82.184346,0,4.651318,4.964724,4.669167,5.26028,66.811843,0.970428,321.220582,312.977355,321.720582,711.522645,4274.936391,65.440742,65.325304,208,54.430181,0,4.754067,4.930506,4.515863,5.345148,77.648324,0.966204
5,HD106306_Bessell B_0055_out.fits,5,0,58589.49145,2458589.491,2458589.491,2458589.486,2458589.487,-1,-69.475502,NaN,10,0,0,5.669584,5,11,17,20.139906,0.363091,0.557779,0.296788,0.171924,0.120938,0.004814,0.006819,0.004141,0.002849,166.531251,75.422268,81.801908,71.671695,60.34561,29138.49931,170.788692,449.94068,404.735483,450.44068,619.764517,586846.6362,78.539816,766.065896,766.052424,23527,7471.963439,0,514,4.87826,5.345939,5.156153,5.535724,77.047672,0.993785,799.882939,378.76113,800.382939,645.73887,7761.720753,88.14366,88.057619,369,98.825298,0,4.610874,4.831494,4.603327,5.059662,76.593916,0.98885,762.00318,667.170604,762.50318,357.329396,10433.34447,102.180773,102.106728,481,132.841468,0,4.578169,4.947409,4.676722,5.218097,76.257817,0.984876,167.509051,638.875819,168.009051,385.624181,6668.750701,81.708731,81.616134,353,84.909171,0,4.202386,4.714986,4.458224,4.971747,74.952869,0.984247,321.846961,312.479819,322.346961,712.020181,4274.683383,65.438868,65.323309,234,54.426959,0,4.109677,4.598228,4.264569,4.931886,270.066792,0.979159
6,HD106306_Bessell B_0058_out.fits,6,0,58589.49191,2458589.492,2458589.492,2458589.487,2458589.487,-1,-69.308059,NaN,10,0,0,5.977455,5,11,17,20.709921,0.368932,0.539795,0.302208,0.173515,0.12625,0.004951,0.006736,0.004263,0.002911,164.038552,74.52077,80.141518,70.898245,59.596734,28236.88131,168.128549,449.81318,404.252187,450.31318,620.247813,584783.5853,78.539816,764.71782,764.705058,22261,7445.695859,0,504,4.98303,5.463284,5.301012,5.625557,290.307088,0.993887,799.631087,378.262274,800.131087,646.237726,7609.942906,87.27841,87.191585,345,96.892802,0,4.71194,4.958923,4.685932,5.231913,289.182032,0.980401,761.848204,666.61394,762.348204,357.88606,9898.8088,99.530874,99.454656,416,126.035548,0,4.838704,5.11169,4.957005,5.266376,288.764181,0.994187,167.507574,638.369443,168.007574,386.130557,6553.039594,80.997664,80.904057,307,83.435891,0,4.917429,4.91125,4.739333,5.083167,290.926168,0.991188,321.966821,312.036292,322.466821,712.463708,4175.090005,64.67358,64.556346,207,53.158897,0,4.766588,4.716673,4.304002,5.129343,283.399487,0.96215
7,HD106306_Bessell B_0061_out.fits,7,0,58589.49239,2458589.492,2458589.492,2458589.487,2458589.488,-1,-69.13702,NaN,10,0,0,5.959745,5,11,17,20.583053,0.363637,0.538109,0.305663,0.175608,0.124945,0.004875,0.006688,0.004279,0.002921,164.736674,74.597759,80.456247,71.426714,60.11221,28485.58331,168.866627,450.153848,403.729911,450.653848,620.770089,586320.2755,78.539816,765.721727,765.709337,20717,7465.261607,0,503,5.108153,5.506727,5.238688,5.774767,288.383592,0.985302,800.1486,377.736195,800.6486,646.763805,7596.169163,87.199537,87.112494,335,96.71743,0,4.779891,5.012164,4.610727,5.413601,285.809007,0.965065,762.102607,666.242857,762.602607,358.257143,9965.713318,99.866438,99.790415,419,126.887403,0,4.71289,5.087592,4.792503,5.382681,283.575714,0.983118,167.992077,638.107599,168.492077,386.392401,6668.630979,81.708133,81.615265,313,84.907647,0,4.595529,4.885117,4.525406,5.244829,283.24229,0.973219,322.14029,311.762839,322.64029,712.737161,4255.069852,65.289002,65.172842,198,54.177232,0,4.624807,4.738491,4.220521,5.25646,279.406524,0.947909
8,HD106306_Bessell B_0064_out.fits,8,0,58589.49286,2458589.493,2458589.493,2458589.488,2458589.488,-1,-68.965453,NaN,10,0,0,5.859459,5,11,17,20.400625,0.369451,0.552426,0.303872,0.164577,0.120924,0.004817,0.006677,0.00416,0.002735,168.705954,76.692623,82.730812,73.048479,60.170929,29885.77193,172.962807,451.969413,403.707801,452.469413,620.792199,609688.434,78.539816,780.831149,780.819816,23209,7762.794242,0,504,5.046443,5.361321,5.226841,5.495802,297.666835,0.992231,801.943786,377.656621,802.443786,646.843379,8062.593165,89.83428,89.749627,404,102.656125,0,4.597115,4.850961,4.678227,5.023695,294.927457,0.987829,763.996055,666.232464,764.496055,358.267536,10634.76048,103.161749,103.088214,502,135.405976,0,4.632134,4.956322,4.779281,5.133363,295.850687,0.986746,169.829555,637.957965,170.329555,386.542035,6964.992199,83.501978,83.411105,339,88.681035,0,4.530899,4.76271,4.638521,4.886899,305.406914,0.974853,323.703848,311.420927,324.203848,713.079073,4223.426087,65.046199,64.929637,230,53.774331,0,4.530959,4.629424,4.330596,4.928251,289.839186,0.972096
9,HD106306_Bessell B_0067_out.fits,9,0,58589.49334,2458589.493,2458589.493,2458589.488,2458589.489,-1,-68.794363,NaN,10,0,0,6.381104,5,11,17,20.649242,0.352814,0.56859,0.313079,0.160475,0.125725,0.004778,0.007033,0.004369,0.002765,164.241138,73.838278,80.846615,71.65874,58.029896,28310.39599,168.346957,452.094494,403.394514,452.594494,621.105486,584588.2186,78.539816,764.589862,764.577518,18472,7443.208373,0,511,5.748668,5.614804,5.384965,5.844643,75.23965,0.991178,801.998963,377.274093,802.498963,647.225907,7383.35398,85.970564,85.882349,301,94.007783,0,5.441809,5.05661,4.66419,5.449029,83.258143,0.974829,764.106623,665.821603,764.606623,358.678397,10262.08671,101.339384,101.264546,390,130.660946,0,5.255007,5.203535,4.933525,5.473546,87.041973,0.989173,169.963569,637.623971,170.463569,386.876029,6750.07758,82.204888,82.11285,277,85.944657,0,4.816022,5.035159,4.754137,5.316181,75.233063,0.983643,323.9776,311.303386,324.4776,713.196614,3914.877719,62.629431,62.508594,183,49.845771,0,4.784557,4.878114,4.56341,5.192818,83.129878,0.982503
10,HD106306_Bessell B_0070_out.fits,10,0,58589.49381,2458589.494,2458589.494,2458589.489,2458589.489,-1,-68.623733,NaN,10,0,0,6.458103,5,11,17,20.703226,0.360506,0.550919,0.307276,0.169248,0.127238,0.004903,0.006909,0.00435,0.002888,162.71312,73.522296,79.733552,70.638532,58.595954,27783.2757,166.77405,452.295285,402.646767,452.795285,621.853233,575203.4263,78.539816,758.428102,758.415234,18057,7323.717487,0,512,5.823689,5.5469,5.442332,5.651468,74.581083,0.998073,802.226153,376.601399,802.726153,647.898601,7361.993953,85.846282,85.757866,291,93.735818,0,5.324519,5.066584,4.890893,5.242274,71.448915,0.992457,764.435081,665.240095,764.935081,359.259905,9869.199989,99.38201,99.305699,385,125.658557,0,5.350664,5.168373,4.94611,5.390636,77.491459,0.991025,170.0888,636.888884,170.5888,387.611116,6530.469949,80.858134,80.764539,269,83.148526,0,4.899817,5.059413,4.922599,5.196226,75.468593,0.996177,323.994387,310.425657,324.494387,714.074343,4021.611806,63.475805,63.35661,198,51.204752,0,4.510721,4.893213,4.867226,4.919199,51.059137,0.99744
