 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_err_T1,rel_flux_err_C2,rel_flux_SNR_T1,rel_flux_SNR_C2,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2
1,HD147302_Bessell B_0943_out.fits,1.000000,0.000000,58589.740877,2458589.740877,2458589.740808,2458589.735657,2458589.736425,2.817782,20.607038,NaN,12.000000,0.000000,0.000000,5.708934,5.000000,11.000000,17.000000,48.084048,0.000000,0.348465,0.000000,137.988278,0.000000,19444.508961,139.471077,448.967030,427.604878,449.467030,596.895122,934970.696175,78.539816,967.234000,966.643745,29523.000000,11904.416635,5.997512,463.000000,5.821554,5.507420,5.680634,5.334206,23.505253,0.991507,669.900660,650.488849,670.400660,374.011151,19444.508961,139.471077,139.416066,684.000000,247.575177,0.000000,5.596314,5.264381,5.437935,5.090827,25.611878,0.988940
2,HD147302_Bessell B_0946_out.fits,2.000000,0.000000,58589.741428,2458589.741428,2458589.741359,2458589.736208,2458589.736976,2.792546,20.805514,NaN,12.000000,0.000000,0.000000,8.394604,5.000000,11.000000,17.000000,48.329890,0.000000,0.349996,0.000000,138.087120,0.000000,19470.101035,139.562760,449.663378,427.400699,450.163378,597.099301,940987.837567,78.539816,970.050276,970.040276,31118.000000,11981.029259,0.000000,467.000000,5.690346,5.487052,5.497986,5.476119,41.831777,0.998696,670.579952,650.199321,671.079952,374.300679,19470.101035,139.562760,139.507853,747.000000,247.901026,0.000000,5.389928,5.247332,5.188074,5.306590,61.993047,0.998368
3,HD147302_Bessell B_0949_out.fits,3.000000,0.000000,58589.741983,2458589.741983,2458589.741914,2458589.736763,2458589.737531,2.767617,21.005360,NaN,12.000000,0.000000,0.000000,9.809600,5.000000,11.000000,17.000000,48.754839,0.000000,0.358360,0.000000,136.049873,0.000000,18896.884299,137.493782,449.521157,426.809678,450.021157,597.690322,921314.550544,78.539816,960.068141,959.634542,29411.000000,11730.541189,4.252125,470.000000,5.717219,5.574566,5.584053,5.565078,44.201794,0.985072,670.537558,649.749839,671.037558,374.750161,18896.884299,137.493782,137.438101,659.000000,240.602604,0.000000,5.507377,5.384351,5.370375,5.398327,45.988446,0.977353
4,HD147302_Bessell B_0952_out.fits,4.000000,0.000000,58589.742539,2458589.742539,2458589.742470,2458589.737319,2458589.738087,2.743099,21.205686,NaN,12.000000,0.000000,0.000000,10.745099,5.000000,11.000000,17.000000,48.864427,0.000000,0.360177,0.000000,135.667646,0.000000,18789.905850,137.104287,449.485171,426.527450,449.985171,597.972550,918157.974238,78.539816,958.210805,958.200398,28553.000000,11690.350411,0.000000,460.000000,6.056708,5.521617,5.549672,5.493561,42.311901,0.988237,670.467601,649.421556,670.967601,375.078444,18789.905850,137.104287,137.048273,644.000000,239.240512,0.000000,5.623890,5.325539,5.300497,5.350582,46.990070,0.981643
5,HD147302_Bessell B_0955_out.fits,5.000000,0.000000,58589.743094,2458589.743094,2458589.743025,2458589.737874,2458589.738642,2.719093,21.405576,NaN,12.000000,0.000000,0.000000,10.634517,5.000000,11.000000,17.000000,48.588920,0.000000,0.354488,0.000000,137.068071,0.000000,19181.892643,138.526559,448.281594,426.307315,448.781594,598.192685,932027.452257,78.539816,965.434081,965.397297,32266.000000,11866.942090,0.228571,446.000000,5.408660,5.449522,5.585839,5.313206,10.396324,0.997140,669.196196,649.100788,669.696196,375.399212,19181.892643,138.526559,138.470866,711.000000,244.231443,0.000000,5.115274,5.212430,5.339347,5.085512,23.611047,0.994865
6,HD147302_Bessell B_0958_out.fits,6.000000,0.000000,58589.743649,2458589.743649,2458589.743580,2458589.738429,2458589.739197,2.695534,21.605441,NaN,12.000000,0.000000,0.000000,10.483443,5.000000,11.000000,17.000000,48.498384,0.000000,0.349381,0.000000,138.812199,0.000000,19673.639464,140.289967,448.782023,425.847720,449.282023,598.652280,954139.714110,78.539816,976.832868,976.768642,35363.000000,12148.484152,0.475410,479.000000,5.189649,5.239398,5.456437,5.022358,30.527601,0.970795,669.687870,648.756323,670.187870,375.743677,19673.639464,140.289967,140.235542,756.000000,250.492558,0.000000,5.142721,4.954701,5.158234,4.751167,31.206769,0.968631
7,HD147302_Bessell B_0961_out.fits,7.000000,0.000000,58589.744206,2458589.744206,2458589.744136,2458589.738986,2458589.739754,2.672331,21.805976,NaN,12.000000,0.000000,0.000000,10.152285,5.000000,11.000000,17.000000,47.874565,0.000000,0.344908,0.000000,138.803979,0.000000,19676.596570,140.300587,449.486596,425.883527,449.986596,598.616473,942008.502503,78.539816,970.710438,970.432031,35524.000000,11994.024769,2.624138,469.000000,5.008651,5.290134,5.338670,5.241597,39.411713,0.991039,670.430644,648.822362,670.930644,375.677638,19676.596570,140.300587,140.246003,850.000000,250.530209,0.000000,4.812475,5.067556,5.162807,4.972305,37.037137,0.981243
8,HD147302_Bessell B_0964_out.fits,8.000000,0.000000,58589.744763,2458589.744763,2458589.744693,2458589.739542,2458589.740311,2.649541,22.006613,NaN,12.000000,0.000000,0.000000,10.984119,5.000000,11.000000,17.000000,48.972245,0.000000,0.363991,0.000000,134.542292,0.000000,18478.797807,135.965032,449.849101,425.917490,450.349101,598.582510,904948.204518,78.539816,951.292874,951.282438,26383.000000,11522.158399,0.000000,455.000000,6.073012,5.755932,5.924362,5.587502,24.654541,0.991956,670.834614,648.720735,671.334614,375.779265,18478.797807,135.965032,135.908458,598.000000,235.279361,0.000000,5.742940,5.558341,5.736075,5.380608,24.258430,0.990698
9,HD147302_Bessell B_0967_out.fits,9.000000,0.000000,58589.745319,2458589.745319,2458589.745249,2458589.740099,2458589.740867,2.627197,22.206961,NaN,12.000000,0.000000,0.000000,11.066805,5.000000,11.000000,17.000000,48.297966,0.000000,0.352783,0.000000,136.905430,0.000000,19138.681197,138.370256,448.947020,425.723001,449.447020,598.776999,924359.372059,78.539816,961.465582,961.406616,30400.000000,11769.309061,0.419890,474.000000,5.709923,5.548333,5.798978,5.297687,14.071100,0.989544,669.881579,648.637149,670.381579,375.862851,19138.681197,138.370256,138.314994,697.000000,243.681257,0.000000,5.439569,5.313955,5.565693,5.062217,17.113907,0.986927
10,HD147302_Bessell B_0970_out.fits,10.000000,0.000000,58589.745873,2458589.745873,2458589.745804,2458589.740653,2458589.741422,2.605302,22.406869,NaN,12.000000,0.000000,0.000000,10.941302,5.000000,11.000000,17.000000,47.950907,0.000000,0.347341,0.000000,138.051365,0.000000,19463.162840,139.537987,448.028082,425.791617,448.528082,598.708383,933276.318146,78.539816,966.067547,966.057002,31938.000000,11882.843144,0.000000,457.000000,5.509398,5.434776,5.481906,5.387645,39.901323,0.990404,668.917214,648.628619,669.417214,375.871381,19463.162840,139.537987,139.482898,724.000000,247.812686,0.000000,5.306401,5.189712,5.246049,5.133375,40.125263,0.983566
11,HD147302_Bessell B_0973_out.fits,11.000000,0.000000,58589.746428,2458589.746428,2458589.746359,2458589.741208,2458589.741977,2.583797,22.606784,NaN,12.000000,0.000000,0.000000,11.064905,5.000000,11.000000,17.000000,48.029126,0.000000,0.350439,0.000000,137.054203,0.000000,19182.735467,138.529483,449.428040,425.723955,449.928040,598.776045,921330.013847,78.539816,960.184977,959.533877,30306.000000,11730.738074,6.427762,459.000000,5.779525,5.415938,5.561001,5.270874,25.898361,0.992508,670.304444,648.573647,670.804444,375.926353,19182.735467,138.529483,138.474028,727.000000,244.242174,0.000000,5.408983,5.132095,5.242737,5.021452,31.551044,0.990925
12,HD147302_Bessell B_0976_out.fits,12.000000,0.000000,58589.746983,2458589.746983,2458589.746914,2458589.741763,2458589.742531,2.562669,22.806717,NaN,12.000000,0.000000,0.000000,11.889614,5.000000,11.000000,17.000000,48.292342,0.000000,0.355209,0.000000,135.954698,0.000000,18874.237007,137.411460,449.248775,425.537309,449.748775,598.962691,911481.111166,78.539816,955.086603,954.343939,26533.000000,11605.337950,7.477723,463.000000,6.395947,5.671491,5.653500,5.689481,47.106481,0.992542,670.050009,648.430694,670.550009,376.069306,18874.237007,137.411460,137.355625,614.000000,240.314249,0.000000,6.318376,5.496260,5.403613,5.588907,54.598209,0.989493
13,HD147302_Bessell B_0979_out.fits,13.000000,0.000000,58589.747539,2458589.747539,2458589.747470,2458589.742319,2458589.743088,2.541864,23.007114,NaN,12.000000,0.000000,0.000000,11.866715,5.000000,11.000000,17.000000,48.989866,0.000000,0.370584,0.000000,132.196365,0.000000,17840.316405,133.596457,448.507126,425.221975,449.007126,599.278025,873994.708818,78.539816,935.103975,934.649763,25375.000000,11128.046252,4.263975,453.000000,6.014373,5.759212,5.661413,5.857010,55.735590,0.991396,669.396197,648.036825,669.896197,376.463175,17840.316405,133.596457,133.538843,559.000000,227.149963,0.000000,5.829443,5.641528,5.545072,5.737983,53.820091,0.987275
14,HD147302_Bessell B_0982_out.fits,14.000000,0.000000,58589.748095,2458589.748095,2458589.748026,2458589.742876,2458589.743644,2.521422,23.207501,NaN,12.000000,0.000000,0.000000,11.273229,5.000000,11.000000,17.000000,48.395627,0.000000,0.348102,0.000000,139.027242,0.000000,19735.508067,140.510534,449.115099,425.203427,449.615099,599.296573,955112.283097,78.539816,977.303406,977.293518,33203.000000,12160.867285,0.000000,451.000000,5.407728,5.387584,5.442941,5.332228,36.181058,0.995401,670.041960,647.975852,670.541960,376.524148,19735.508067,140.510534,140.455719,760.000000,251.280293,0.000000,5.272014,5.134196,5.153907,5.114485,41.996828,0.994616
15,HD147302_Bessell B_0985_out.fits,15.000000,0.000000,58589.748649,2458589.748649,2458589.748580,2458589.743429,2458589.744197,2.501426,23.406964,NaN,12.000000,0.000000,0.000000,10.755695,5.000000,11.000000,17.000000,48.116434,0.000000,0.345755,0.000000,139.163508,0.000000,19776.729472,140.657062,448.911559,424.875715,449.411559,599.624285,951585.702948,78.539816,975.777182,975.207988,34274.000000,12115.965472,5.755376,460.000000,5.219532,5.333133,5.357453,5.308813,42.213465,0.991181,669.899376,647.690643,670.399376,376.809357,19776.729472,140.657062,140.602463,781.000000,251.805140,0.000000,5.018629,5.075592,5.094777,5.056406,43.347977,0.982795
16,HD147302_Bessell B_0988_out.fits,16.000000,0.000000,58589.749195,2458589.749195,2458589.749126,2458589.743975,2458589.744743,2.482035,23.603729,NaN,12.000000,0.000000,0.000000,10.742130,5.000000,11.000000,17.000000,48.534933,0.000000,0.346705,0.000000,139.989261,0.000000,20008.311989,141.477963,450.495273,424.803446,450.995273,599.696554,971102.073540,78.539816,985.450108,985.440121,34539.000000,12364.455620,0.000000,451.000000,5.456876,5.199727,5.233497,5.165957,39.443192,0.995459,671.306547,647.629455,671.806547,376.870545,20008.311989,141.477963,141.423523,817.000000,254.753740,0.000000,5.271689,4.904021,5.004477,4.803564,26.050539,0.995555
17,HD147302_Bessell B_0991_out.fits,17.000000,0.000000,58589.749751,2458589.749751,2458589.749682,2458589.744531,2458589.745300,2.462618,23.804154,NaN,12.000000,0.000000,0.000000,11.063051,5.000000,11.000000,17.000000,48.690333,0.000000,0.354503,0.000000,137.348330,0.000000,19259.525003,138.806339,451.208067,424.663654,451.708067,599.836346,937752.689033,78.539816,968.381476,968.371155,30185.000000,11939.838069,0.000000,462.000000,5.756506,5.464132,5.550772,5.377492,33.073598,0.993853,672.199445,647.540936,672.699445,376.959064,19259.525003,138.806339,138.751048,698.000000,245.219888,0.000000,5.627466,5.269040,5.310764,5.227317,39.710808,0.992559
