 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_err_T1,rel_flux_err_C2,rel_flux_SNR_T1,rel_flux_SNR_C2,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2
1,HD147302_Bessell V_0944_out.fits,1.000000,0.000000,58589.741060,2458589.741060,2458589.741002,2458589.735840,2458589.736608,2.809350,20.672930,NaN,10.000000,0.000000,0.000000,5.805242,5.000000,11.000000,17.000000,42.927928,0.000000,0.300647,0.000000,142.784980,0.000000,20869.964239,144.490916,449.268096,427.618524,449.768096,596.881476,895904.321361,78.539816,946.527185,946.517264,28583.000000,11407.008103,0.000000,468.000000,5.881845,5.426070,5.331918,5.520221,51.782996,0.978125,703.580503,582.722399,704.080503,441.777601,20869.964239,144.490916,144.437898,729.000000,265.724638,0.000000,5.728638,5.225199,5.166895,5.283503,48.520889,0.966871
2,HD147302_Bessell V_0947_out.fits,2.000000,0.000000,58589.741613,2458589.741613,2458589.741555,2458589.736393,2458589.737161,2.784209,20.871921,NaN,10.000000,0.000000,0.000000,8.778906,5.000000,11.000000,17.000000,42.729667,0.000000,0.298861,0.000000,142.974869,0.000000,20927.730525,144.690783,449.991264,427.286626,450.491264,597.213374,894234.957226,78.539816,945.645143,945.634801,27363.000000,11385.753098,0.000000,455.000000,5.976680,5.518225,5.687073,5.349377,8.455532,0.995916,704.340786,582.444476,704.840786,442.055524,20927.730525,144.690783,144.637621,700.000000,266.460141,0.000000,5.775891,5.263354,5.391165,5.135543,18.020704,0.996397
3,HD147302_Bessell V_0950_out.fits,3.000000,0.000000,58589.742168,2458589.742168,2458589.742110,2458589.736947,2458589.737716,2.759433,21.071804,NaN,10.000000,0.000000,0.000000,9.694508,5.000000,11.000000,17.000000,42.635254,0.000000,0.299920,0.000000,142.155459,0.000000,20689.665910,143.865746,449.571811,427.036412,450.071811,597.463588,882109.165759,78.539816,939.211783,939.201553,30330.000000,11231.362726,0.000000,457.000000,5.358113,5.423482,5.729179,5.117786,18.891940,0.979783,703.867888,582.207179,704.367888,442.292821,20689.665910,143.865746,143.812314,822.000000,263.429008,0.000000,5.251997,5.196449,5.588313,4.804584,18.647301,0.964463
4,HD147302_Bessell V_0953_out.fits,4.000000,0.000000,58589.742728,2458589.742728,2458589.742670,2458589.737507,2458589.738276,2.734905,21.273491,NaN,10.000000,0.000000,0.000000,10.822316,5.000000,11.000000,17.000000,43.255972,0.000000,0.311111,0.000000,139.037160,0.000000,19785.743450,140.689092,449.700626,426.728727,450.200626,597.771273,855851.557251,78.539816,925.127797,925.117114,25131.000000,10897.040471,0.000000,461.000000,6.104951,5.712184,5.697064,5.727303,46.718307,0.992201,704.141512,581.890277,704.641512,442.609723,19785.743450,140.689092,140.634523,667.000000,251.919910,0.000000,5.845172,5.546874,5.451152,5.642596,53.209884,0.985101
5,HD147302_Bessell V_0956_out.fits,5.000000,0.000000,58589.743280,2458589.743280,2458589.743222,2458589.738060,2458589.738828,2.711155,21.472504,NaN,10.000000,0.000000,0.000000,10.675634,5.000000,11.000000,17.000000,42.656649,0.000000,0.297110,0.000000,143.571853,0.000000,21103.599074,145.297167,448.492206,426.642558,448.992206,597.857442,900208.820463,78.539816,948.798332,948.788368,33690.000000,11461.814687,0.000000,465.000000,5.319733,5.312688,5.494480,5.130896,16.287932,0.993420,702.739367,581.816777,703.239367,442.683223,21103.599074,145.297167,145.244395,824.000000,268.699369,0.000000,5.209219,5.089075,5.324555,4.853595,14.836596,0.988704
6,HD147302_Bessell V_0959_out.fits,6.000000,0.000000,58589.743835,2458589.743835,2458589.743777,2458589.738615,2458589.739383,2.687747,21.672330,NaN,10.000000,0.000000,0.000000,11.022083,5.000000,11.000000,17.000000,42.278136,0.000000,0.292717,0.000000,144.433270,0.000000,21361.884636,146.183283,449.410208,425.812754,449.910208,598.687246,903140.666290,78.539816,950.342026,950.332240,29324.000000,11499.144108,0.000000,465.000000,5.774932,5.331911,5.313733,5.350088,46.993388,0.990382,703.650014,581.001322,704.150014,443.498678,21361.884636,146.183283,146.130831,800.000000,271.987963,0.000000,5.593600,5.112667,5.077526,5.147808,48.689298,0.988543
7,HD147302_Bessell V_0962_out.fits,7.000000,0.000000,58589.744393,2458589.744393,2458589.744335,2458589.739173,2458589.739941,2.664619,21.873463,NaN,10.000000,0.000000,0.000000,11.076026,5.000000,11.000000,17.000000,43.366590,0.000000,0.312054,0.000000,138.971529,0.000000,19766.056712,140.619059,450.621379,426.334336,451.121379,598.165664,857186.469906,78.539816,925.987858,925.699471,27272.000000,10914.037107,2.595890,467.000000,5.810297,5.611315,5.310901,5.911729,76.085594,0.985424,705.022381,581.395618,705.522381,443.104382,19766.056712,140.619059,140.564564,726.000000,251.669250,0.000000,5.319673,5.443517,5.181203,5.705831,70.195555,0.984423
8,HD147302_Bessell V_0965_out.fits,8.000000,0.000000,58589.744947,2458589.744947,2458589.744889,2458589.739727,2458589.740495,2.642086,22.073056,NaN,10.000000,0.000000,0.000000,11.285681,5.000000,11.000000,17.000000,42.214223,0.000000,0.300271,0.000000,140.586927,0.000000,20240.574139,142.296411,449.781715,425.689227,450.281715,598.810773,854440.113443,78.539816,924.533949,924.184682,26753.000000,10879.069410,3.227692,454.000000,5.762704,5.648060,5.847324,5.448797,29.565550,0.981134,704.198806,580.900434,704.698806,443.599566,20240.574139,142.296411,142.242337,686.000000,257.710994,0.000000,5.732631,5.454285,5.640039,5.268530,29.551329,0.982446
9,HD147302_Bessell V_0968_out.fits,9.000000,0.000000,58589.745502,2458589.745502,2458589.745444,2458589.740282,2458589.741050,2.619927,22.272943,NaN,10.000000,0.000000,0.000000,10.890778,5.000000,11.000000,17.000000,42.468730,0.000000,0.298405,0.000000,142.318858,0.000000,20739.115840,144.037557,449.063218,426.122503,449.563218,598.377497,880763.902622,78.539816,938.495354,938.485096,30881.000000,11214.234304,0.000000,451.000000,5.381670,5.480961,5.568245,5.393676,30.945326,0.995433,703.297483,581.303491,703.797483,443.196509,20739.115840,144.037557,143.984085,778.000000,264.058624,0.000000,5.114205,5.264796,5.276035,5.253558,43.337655,0.994580
10,HD147302_Bessell V_0971_out.fits,10.000000,0.000000,58589.746060,2458589.746060,2458589.746003,2458589.740840,2458589.741609,2.598014,22.474217,NaN,10.000000,0.000000,0.000000,10.656833,5.000000,11.000000,17.000000,42.679603,0.000000,0.296961,0.000000,143.721045,0.000000,21147.395018,145.447768,448.503412,425.701553,449.003412,598.798447,902562.424445,78.539816,950.232886,949.832865,33819.000000,11491.781704,3.839286,469.000000,5.318881,5.177741,5.281840,5.073641,28.582770,0.994505,702.741783,580.889659,703.241783,443.610341,21147.395018,145.447768,145.395115,882.000000,269.256996,0.000000,5.104007,4.965803,5.143805,4.787801,22.844073,0.989495
11,HD147302_Bessell V_0974_out.fits,11.000000,0.000000,58589.746613,2458589.746613,2458589.746555,2458589.741393,2458589.742161,2.576726,22.673299,NaN,10.000000,0.000000,0.000000,10.474235,5.000000,11.000000,17.000000,42.777034,0.000000,0.298321,0.000000,143.392549,0.000000,21049.819759,145.112066,449.590255,425.760058,450.090255,598.739942,900448.850957,78.539816,949.135023,948.704694,33385.000000,11464.870850,4.176966,455.000000,5.232981,5.204801,5.318317,5.091284,30.939576,0.991443,703.906900,580.899517,704.406900,443.600483,21049.819759,145.112066,145.059059,863.000000,268.014629,0.000000,5.058657,4.910279,5.033188,4.787369,31.724458,0.987472
12,HD147302_Bessell V_0977_out.fits,12.000000,0.000000,58589.747169,2458589.747169,2458589.747111,2458589.741949,2458589.742717,2.555688,22.873564,NaN,10.000000,0.000000,0.000000,11.394453,5.000000,11.000000,17.000000,42.919593,0.000000,0.306868,0.000000,139.863316,0.000000,20025.291639,141.537995,449.402633,425.623666,449.902633,598.876334,859477.369569,78.539816,927.317919,926.842189,25430.000000,10943.205747,4.486880,447.000000,6.133742,5.673311,5.532351,5.814272,61.887857,0.992020,703.681199,580.752857,704.181199,443.747143,20025.291639,141.537995,141.483505,617.000000,254.969932,0.000000,6.180929,5.535777,5.331370,5.740185,62.523708,0.983507
13,HD147302_Bessell V_0980_out.fits,13.000000,0.000000,58589.747728,2458589.747728,2458589.747670,2458589.742508,2458589.743276,2.534908,23.074910,NaN,10.000000,0.000000,0.000000,11.212510,5.000000,11.000000,17.000000,43.208464,0.000000,0.307979,0.000000,140.296761,0.000000,20146.220081,141.964397,448.643159,425.243551,449.143159,599.256449,870487.233603,78.539816,933.004362,932.993745,28421.000000,11083.387690,0.000000,464.000000,5.643220,5.554508,5.854144,5.254872,16.217999,0.983754,702.975072,580.354190,703.475072,444.145810,20146.220081,141.964397,141.910369,733.000000,256.509641,0.000000,5.387346,5.305492,5.603016,5.007968,20.844837,0.977584
14,HD147302_Bessell V_0983_out.fits,14.000000,0.000000,58589.748281,2458589.748281,2458589.748223,2458589.743061,2458589.743829,2.514683,23.274336,NaN,10.000000,0.000000,0.000000,11.116400,5.000000,11.000000,17.000000,42.730221,0.000000,0.300334,0.000000,142.275516,0.000000,20723.536455,143.983330,449.279199,425.861296,449.779199,598.638704,885521.300483,78.539816,941.026578,941.016249,30378.000000,11274.807375,0.000000,467.000000,5.572166,5.403222,5.419944,5.386501,43.295953,0.989160,703.554910,580.973620,704.054910,443.526380,20723.536455,143.983330,143.930109,762.000000,263.860261,0.000000,5.448125,5.188816,5.185259,5.192372,45.297488,0.982573
15,HD147302_Bessell V_0986_out.fits,15.000000,0.000000,58589.748835,2458589.748835,2458589.748777,2458589.743615,2458589.744383,2.494801,23.473813,NaN,10.000000,0.000000,0.000000,11.422892,5.000000,11.000000,17.000000,42.890419,0.000000,0.299804,0.000000,143.061426,0.000000,20951.254502,144.771983,449.336957,425.093425,449.836957,599.406575,898608.079955,78.539816,947.954412,947.944404,30344.000000,11441.433426,0.000000,463.000000,5.921230,5.403928,5.437714,5.370142,42.072099,0.984980,703.606638,580.281293,704.106638,444.218707,20951.254502,144.771983,144.718986,786.000000,266.759657,0.000000,5.808154,5.247617,5.257406,5.237828,44.208043,0.981782
16,HD147302_Bessell V_0989_out.fits,16.000000,0.000000,58589.749381,2458589.749381,2458589.749323,2458589.744161,2458589.744930,2.475498,23.670826,NaN,10.000000,0.000000,0.000000,10.811468,5.000000,11.000000,17.000000,43.011677,0.000000,0.297688,0.000000,144.485589,0.000000,21368.930630,146.207349,451.381491,424.846530,451.881491,599.653470,919113.550840,78.539816,958.709022,958.699178,36989.000000,11702.517190,0.000000,469.000000,5.175268,5.121877,5.328184,4.915570,6.465559,0.993190,705.596448,579.994693,706.096448,444.505307,21368.930630,146.207349,146.154970,957.000000,272.077675,0.000000,5.024776,4.856082,5.021610,4.690553,5.090328,0.995214
17,HD147302_Bessell V_0992_out.fits,17.000000,0.000000,58589.749936,2458589.749936,2458589.749878,2458589.744716,2458589.745484,2.456255,23.870585,NaN,10.000000,0.000000,0.000000,11.333971,5.000000,11.000000,17.000000,43.180198,0.000000,0.307033,0.000000,140.636956,0.000000,20244.308192,142.309462,451.110601,424.866825,451.610601,599.633175,874153.239301,78.539816,934.966792,934.956457,26844.000000,11130.064724,0.000000,462.000000,6.009166,5.629374,5.748408,5.510339,38.214837,0.967544,705.318744,580.055994,705.818744,444.444006,20244.308192,142.309462,142.255531,643.000000,257.758537,0.000000,5.847309,5.435453,5.471924,5.398981,43.296227,0.949028
18,HD147302_Bessell V_0995_out.fits,18.000000,0.000000,58589.750489,2458589.750489,2458589.750431,2458589.745269,2458589.746038,2.437360,24.070082,NaN,10.000000,0.000000,0.000000,11.000930,5.000000,11.000000,17.000000,42.419382,0.000000,0.295936,0.000000,143.339599,0.000000,21038.078055,145.071463,451.491712,424.949904,451.991712,599.550096,892422.271472,78.539816,944.686072,944.676012,30926.000000,11362.673266,0.000000,472.000000,5.342412,5.380431,5.521661,5.239201,28.575589,0.990646,705.803140,580.119199,706.303140,444.380801,21038.078055,145.071463,145.018722,784.000000,267.865129,0.000000,5.325477,5.224179,5.491337,4.957021,20.651232,0.981561
19,HD147302_Bessell V_0998_out.fits,19.000000,0.000000,58589.751049,2458589.751049,2458589.750991,2458589.745829,2458589.746598,2.418568,24.271878,NaN,10.000000,0.000000,0.000000,10.745218,5.000000,11.000000,17.000000,42.211914,0.000000,0.290693,0.000000,145.211421,0.000000,21593.389780,146.972998,451.448967,425.087267,451.948967,599.412733,911498.317945,78.539816,954.729029,954.719391,33550.000000,11605.557034,0.000000,463.000000,5.289319,5.278171,5.237313,5.319028,49.273376,0.989150,705.885244,580.256114,706.385244,444.243886,21593.389780,146.972998,146.920795,880.000000,274.935578,0.000000,5.200188,5.049858,5.031619,5.068097,46.587769,0.982996
20,HD147302_Bessell V_1001_out.fits,20.000000,0.000000,58589.751601,2458589.751601,2458589.751543,2458589.746381,2458589.747150,2.400344,24.470881,NaN,10.000000,0.000000,0.000000,10.537899,5.000000,11.000000,17.000000,42.625411,0.000000,0.295289,0.000000,144.351525,0.000000,21333.682654,146.086711,450.548745,424.489112,451.048745,600.010888,909356.996084,78.539816,953.607099,953.597133,33462.000000,11578.292877,0.000000,475.000000,5.358348,5.235965,5.523145,4.948786,23.346287,0.974577,704.906631,579.580077,705.406631,444.919923,21333.682654,146.086711,146.034383,918.000000,271.628884,0.000000,4.972231,5.068114,5.440733,4.695495,22.670848,0.956703
21,HD147302_Bessell V_1004_out.fits,21.000000,0.000000,58589.752157,2458589.752157,2458589.752100,2458589.746938,2458589.747706,2.382288,24.671352,NaN,10.000000,0.000000,0.000000,10.646905,5.000000,11.000000,17.000000,42.468236,0.000000,0.293860,0.000000,144.518539,0.000000,21385.125852,146.262731,452.609022,424.514446,453.109022,599.985554,908188.580934,78.539816,953.224089,952.754543,32218.000000,11563.416153,4.615176,468.000000,5.502406,5.166816,5.219698,5.113934,37.503416,0.993741,706.973776,579.569649,707.473776,444.930351,21385.125852,146.262731,146.210355,845.000000,272.283879,0.000000,5.253505,5.003377,5.030610,4.976144,42.349727,0.986115
22,HD147302_Bessell V_1007_out.fits,22.000000,0.000000,58589.752703,2458589.752703,2458589.752645,2458589.747483,2458589.748251,2.364878,24.867840,NaN,10.000000,0.000000,0.000000,10.962104,5.000000,11.000000,17.000000,42.644501,0.000000,0.301562,0.000000,141.411937,0.000000,20473.767250,143.113372,453.382656,425.420166,453.882656,599.079834,873093.591530,78.539816,934.403413,934.386133,28851.000000,11116.572870,0.055215,464.000000,5.757321,5.506209,5.665910,5.346508,24.959797,0.991897,707.609968,580.578462,708.109968,443.921538,20473.767250,143.113372,143.059778,727.000000,260.680101,0.000000,5.519983,5.288301,5.441306,5.135296,27.770659,0.989558
