 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1
1	aligned_HD_152060Bessell B1006_out.fits	1.000000	0.000000	58592.817940	2458592.817940	2458592.817593	2458592.812855	0.000000	1.279331	51.352388	NaN	60.000000	0.000000	0.000000	3.623446	5.000000	11.000000	17.000000	491.696820	510.571850	492.196820	513.928150	22880.000000	78.539816	151.286282	151.236448	2307.000000	291.317208	0.000000	526.000000	3.623446	3.019523	3.279658	2.759388	6.697356	0.969089
2	aligned_HD_152060Bessell B1009_out.fits	2.000000	0.000000	58592.819711	2458592.819711	2458592.819364	2458592.814626	0.000000	1.268147	51.991363	NaN	60.000000	0.000000	0.000000	7.315823	5.000000	11.000000	17.000000	491.220742	511.066885	491.720742	513.433115	18643.000000	78.539816	136.566957	136.511792	1784.000000	237.370048	0.000000	529.000000	3.692377	2.909360	3.208025	2.610695	5.251591	0.957302
3	aligned_HD_152060Bessell B1012_out.fits	3.000000	0.000000	58592.821482	2458592.821482	2458592.821134	2458592.816397	0.000000	1.257311	52.630297	NaN	60.000000	0.000000	0.000000	11.605717	5.000000	11.000000	17.000000	491.521444	510.414256	492.021444	514.085744	266931.000000	78.539816	516.660959	516.646352	16496.000000	3398.671049	0.000000	522.000000	4.289895	4.166859	4.460898	3.872821	7.460814	0.978878
4	aligned_HD_152060Bessell B1015_out.fits	4.000000	0.000000	58592.823244	2458592.823244	2458592.822896	2458592.818159	0.000000	1.246863	53.266036	NaN	60.000000	0.000000	0.000000	16.146565	5.000000	11.000000	17.000000	491.873017	510.613275	492.373017	513.886725	173556.000000	78.539816	416.609568	416.591489	9623.000000	2209.783624	0.000000	530.000000	4.540848	4.152083	4.523375	3.780791	0.607924	0.968505
5	aligned_HD_152060Bessell B1018_out.fits	5.000000	0.000000	58592.825014	2458592.825014	2458592.824667	2458592.819929	0.000000	1.236689	53.904917	NaN	60.000000	0.000000	0.000000	20.406435	5.000000	11.000000	17.000000	492.062694	510.646723	492.562694	513.853277	233551.000000	78.539816	483.278946	483.263345	14040.000000	2973.663689	0.000000	526.000000	4.259869	4.094146	4.511061	3.677231	358.353526	0.959234
6	aligned_HD_152060Bessell B1021_out.fits	6.000000	0.000000	58592.826784	2458592.826784	2458592.826436	2458592.821699	0.000000	1.226835	54.543413	NaN	60.000000	0.000000	0.000000	24.749134	5.000000	11.000000	17.000000	492.197407	510.441499	492.697407	514.058501	140662.000000	78.539816	375.059369	375.039292	9093.000000	1790.964208	0.000000	531.000000	4.342700	3.901413	4.387703	3.415123	1.066576	0.939658
7	aligned_HD_152060Bessell B1024_out.fits	7.000000	0.000000	58592.828555	2458592.828555	2458592.828208	2458592.823470	0.000000	1.217278	55.182495	NaN	60.000000	0.000000	0.000000	29.510651	5.000000	11.000000	17.000000	492.091413	510.826015	492.591413	513.673985	154343.926206	78.539816	392.875893	392.856698	7652.000000	1965.167903	0.000000	525.000000	4.761516	4.312935	4.704214	3.921655	353.600090	0.965941
8	aligned_HD_152060Bessell B1027_out.fits	8.000000	0.000000	58592.830325	2458592.830325	2458592.829978	2458592.825240	0.000000	1.208022	55.821246	NaN	60.000000	0.000000	0.000000	34.121300	5.000000	11.000000	17.000000	491.929374	511.016608	492.429374	513.483392	191169.131344	78.539816	437.237545	437.220302	9765.000000	2434.040978	0.000000	526.000000	4.610650	4.294878	4.744121	3.845635	6.022916	0.955228
9	aligned_HD_152060Bessell B1030_out.fits	9.000000	0.000000	58592.832097	2458592.832097	2458592.831750	2458592.827012	0.000000	1.199043	56.460677	NaN	60.000000	0.000000	0.000000	37.723131	5.000000	11.000000	17.000000	491.318283	510.918186	491.818283	513.581814	57757.000000	78.539816	240.342542	240.311181	5175.000000	735.384964	0.000000	527.000000	3.601831	3.165312	3.433379	2.897245	352.525766	0.969702
10	aligned_HD_152060Bessell B1033_out.fits	10.000000	0.000000	58592.833858	2458592.833858	2458592.833510	2458592.828773	0.000000	1.190399	57.095953	NaN	60.000000	0.000000	0.000000	41.681368	5.000000	11.000000	17.000000	491.777019	510.281465	492.277019	514.218535	60374.000000	78.539816	245.726546	245.695880	4724.000000	768.705643	0.000000	528.000000	3.958237	3.426406	3.734814	3.117997	4.042099	0.967469
