 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_err_T1,rel_flux_err_C2,rel_flux_SNR_T1,rel_flux_SNR_C2,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2
1,aligned_HD_152060Bessell R1008_out.fits,1.000000,0.000000,58592.819100,2458592.819100,2458592.818926,2458592.814015,0.000000,1.271966,51.770916,NaN,30.000000,0.000000,0.000000,2.975268,5.000000,11.000000,17.000000,0.732216,0.000000,0.008295,0.000000,88.275217,0.000000,18444.000000,135.836429,492.797426,511.256915,493.297426,513.243085,13505.000000,78.539816,116.243432,116.178607,1972.000000,171.951001,0.000000,528.000000,2.918739,2.461569,2.846311,2.076828,0.918641,0.906791,771.716462,291.376817,772.216462,733.123183,18444.000000,135.836429,135.780954,2588.000000,234.836302,0.000000,3.031797,2.638614,3.084145,2.193084,3.564787,0.890507
2,aligned_HD_152060Bessell R1011_out.fits,2.000000,0.000000,58592.820871,2458592.820871,2458592.820697,2458592.815786,0.000000,1.261010,52.409882,NaN,30.000000,0.000000,0.000000,5.456932,5.000000,11.000000,17.000000,0.784991,0.000000,0.004223,0.000000,185.883460,0.000000,78578.000000,280.331114,493.016095,511.312095,493.516095,513.187905,61683.000000,78.539816,248.375795,248.345456,4764.000000,785.372348,0.000000,529.000000,4.017193,3.445964,3.742459,3.149468,352.469588,0.968708,771.942935,291.460581,772.442935,733.039419,78578.000000,280.331114,280.304240,5759.000000,1000.486169,0.000000,3.921404,3.551014,3.866746,3.235281,353.885702,0.967410
3,aligned_HD_152060Bessell R1014_out.fits,3.000000,0.000000,58592.822630,2458592.822630,2458592.822457,2458592.817545,0.000000,1.250462,53.044805,NaN,30.000000,0.000000,0.000000,6.670479,5.000000,11.000000,17.000000,0.778616,0.000000,0.003420,0.000000,227.692284,0.000000,118437.000000,344.157727,492.821077,510.733847,493.321077,513.766153,92217.000000,78.539816,303.684925,303.660118,7153.000000,1174.143311,0.000000,525.000000,3.848006,3.463458,3.873141,3.053775,357.844414,0.945257,771.788797,290.892385,772.288797,733.607615,118437.000000,344.157727,344.135815,8208.000000,1507.986720,0.000000,4.036019,3.630226,4.047254,3.213198,0.489856,0.948565
4,aligned_HD_152060Bessell R1017_out.fits,4.000000,0.000000,58592.824402,2458592.824402,2458592.824228,2458592.819317,0.000000,1.240172,53.683893,NaN,30.000000,0.000000,0.000000,7.575653,5.000000,11.000000,17.000000,0.802133,0.000000,0.002352,0.000000,341.074240,0.000000,261368.000000,511.248996,492.380846,510.939257,492.880846,513.560743,209652.000000,78.539816,457.885944,457.869482,12444.000000,2669.372170,0.000000,528.000000,4.226008,4.017847,4.367610,3.668084,0.043431,0.970142,771.319362,291.092863,771.819362,733.407137,261368.000000,511.248996,511.234256,15446.000000,3327.840733,0.000000,4.254820,4.133534,4.464366,3.802702,1.203606,0.974657
5,aligned_HD_152060Bessell R1020_out.fits,5.000000,0.000000,58592.826170,2458592.826170,2458592.825997,2458592.821085,0.000000,1.230217,54.322033,NaN,30.000000,0.000000,0.000000,7.991782,5.000000,11.000000,17.000000,0.766227,0.000000,0.003799,0.000000,201.691594,0.000000,93779.000000,306.245871,493.050804,511.607463,493.550804,512.892537,71856.000000,78.539816,268.073754,268.045637,5129.000000,914.899007,0.000000,529.000000,4.089622,3.593848,4.026152,3.161544,359.444281,0.943739,771.985715,291.809534,772.485715,732.690466,93779.000000,306.245871,306.221271,6084.000000,1194.031313,0.000000,4.318289,3.758664,4.166718,3.350609,359.891483,0.953947
6,aligned_HD_152060Bessell R1023_out.fits,6.000000,0.000000,58592.827941,2458592.827941,2458592.827767,2458592.822856,0.000000,1.220557,54.960988,NaN,30.000000,0.000000,0.000000,8.377324,5.000000,11.000000,17.000000,0.766490,0.000000,0.003442,0.000000,222.670282,0.000000,114278.000000,338.061440,492.381145,511.044397,492.881145,513.455603,87593.000000,78.539816,295.973876,295.948416,4992.000000,1115.268714,0.000000,527.000000,4.325542,3.945895,4.526161,3.365630,355.444971,0.914991,771.275750,291.142847,771.775750,733.357153,114278.000000,338.061440,338.039144,6375.000000,1455.032687,0.000000,4.437324,4.066830,4.650532,3.483128,355.413827,0.918830
7,aligned_HD_152060Bessell R1026_out.fits,7.000000,0.000000,58592.829712,2458592.829712,2458592.829538,2458592.824627,0.000000,1.211195,55.599984,NaN,30.000000,0.000000,0.000000,8.136394,5.000000,11.000000,17.000000,0.782309,0.000000,0.003138,0.000000,249.271674,0.000000,141572.000000,376.270557,493.308798,511.408281,493.808798,513.091719,110753.000000,78.539816,332.807057,332.784409,8384.000000,1410.150993,0.000000,530.000000,3.980866,3.637066,4.120510,3.153622,357.433420,0.931210,772.223101,291.503731,772.723101,732.996269,141572.000000,376.270557,376.250540,10193.000000,1802.550688,0.000000,3.914597,3.789374,4.267851,3.310897,356.009933,0.936997
8,aligned_HD_152060Bessell R1029_out.fits,8.000000,0.000000,58592.831481,2458592.831481,2458592.831308,2458592.826397,0.000000,1.202132,56.238437,NaN,30.000000,0.000000,0.000000,7.660916,5.000000,11.000000,17.000000,0.629720,0.000000,0.007166,0.000000,87.870855,0.000000,19993.000000,141.423263,492.592136,511.581283,493.092136,512.918717,12590.000000,78.539816,112.238785,112.171564,1314.000000,160.300859,0.000000,526.000000,3.608217,2.856260,3.281414,2.431105,357.353804,0.914447,771.489899,291.637906,771.989899,732.862094,19993.000000,141.423263,141.369953,1885.000000,254.558782,0.000000,3.577221,3.069295,3.443347,2.695243,355.250371,0.940703
9,aligned_HD_152060Bessell R1032_out.fits,9.000000,0.000000,58592.833252,2458592.833252,2458592.833078,2458592.828167,0.000000,1.193343,56.877382,NaN,30.000000,0.000000,0.000000,7.693017,5.000000,11.000000,17.000000,0.787938,0.000000,0.003437,0.000000,229.270817,0.000000,119286.000000,345.388973,492.744155,511.371058,493.244155,513.128942,93990.000000,78.539816,306.590178,306.565594,7554.000000,1196.717848,0.000000,524.000000,3.872253,3.467664,3.831574,3.103754,356.583757,0.956283,771.692240,291.514475,772.192240,732.985525,119286.000000,345.388973,345.367134,8845.000000,1518.796523,0.000000,3.852866,3.603387,3.965308,3.241467,355.363744,0.959396
10,aligned_HD_152060Bessell R1035_out.fits,10.000000,0.000000,58592.835014,2458592.835014,2458592.834840,2458592.829929,0.000000,1.184869,57.513115,NaN,30.000000,0.000000,0.000000,7.523179,5.000000,11.000000,17.000000,0.791574,0.000000,0.003686,0.000000,214.735857,0.000000,104373.000000,323.079758,492.937275,511.406880,493.437275,513.093120,82619.000000,78.539816,287.448308,287.422112,6872.000000,1051.937779,0.000000,531.000000,3.610439,3.360912,3.560449,3.161374,351.879734,0.984812,771.873152,291.562559,772.373152,732.937441,104373.000000,323.079758,323.056451,8123.000000,1328.918310,0.000000,3.742901,3.492360,3.707676,3.277045,356.473230,0.984679
